,ProviderID,Fiscal_year_begin_date,Report_date,Termination_Date,Waiver_code,Intermediary_number,Provider_type,Current_Census_division,Change_code_for_reclass,Actual_Geographic_MSA,Wage_Index_MSA,Standardized_amount_MSA,Sole_community_or_Medicare,LUGAR,Temporary_relief_indicator,Federal_PPS_Blend_indicator,Facility_specific_rate,Cost_of_living_adjustment,Intern_to_bed_ratio,Bed_size,Cost-to-charge_ratio,Case_mix_index,SSI_ratio,Medicaid_ratio,Provider_PPS_period,Special_provider_update_factor,Operating_DSH_percent,Fiscal_year_end_date,Special_wage_index,Special_payment_indicator,Hospital_quality_indicator,Geographic_location_CBSA,Reclassification_CBSA,Standardized_amount_CBSA,Total_pass_through_amount_and_miscellaneous,Pass_through_amount_capital,Pass_through_amount_direct,Pass_through_amount_organ,Capital_PPS_pay_code,Capital_hospital_specific_rate,Capital_old_harmless_rate,Capital_new_harmless_ratio,Capital_cost-to-charge_ratio,New_hospital,Capital_indirect_medical,Capital_exception_payment,Supplemental_wage_index,Supplemental_wage_index_indicator,Value_based_purchasing_participant,Value_based_purchasing_adjustment,Hospital_readmission_reduction_program_participant,Hospital_readmission_reduction_adjustment,Model_1_bundle_percent,Hospital_acquired_condition_(HAC)_reduction_program_participant,Uncompensated_care_amount,Electronic_health_record_(EHR)_incentive_program_reduction_indicator,Low-volume_adjustment_factor,County_code,State_code,Medicare_performance_adjustment,LTCH_DPP_indicator
2958,500077,01/01/2022,03/31/2022,--,N,02001,00,9,N,7840,7840,7840,--,--,--,--,"$2,266.97",1,--,178,0.303,1.0854,0.075,0.2599,--,--,--,12/31/1986,--,D,1,44060,44060,--,$4.89,--,$4.89,--,B,407.14,0,0,0.015,--,--,0,--,--,N,0,1,1,0,N,$405.27,--,0,53063,50,0,--
2959,500079,01/01/2022,03/31/2022,--,N,02001,00,9,N,8200,8200,7600,--,--,--,--,"$2,066.50",1,0.0014,297,0.188,1.0671,0.0594,0.2445,--,--,--,12/31/2016,--,--,1,45104,--,--,$0.56,--,$0.56,--,B,228.23,0,0,0.019,--,0.0018,0,--,--,N,0,1,0.993,0,N,$598.17,--,0,53053,50,0,--
2960,500084,01/01/2022,03/31/2022,--,N,02001,00,9,N,7600,7600,7600,--,--,Y,--,"$1,999.92",1,--,24,0.544,1.1384,0.0148,0.1701,--,--,--,12/31/1986,--,--,1,42644,--,--,$0.00,--,--,--,B,371.5,0,0,0.027,--,--,0,--,--,N,0,1,0.9983,0,Y,"$1,090.71",--,0.230834,53061,50,0,--
2961,500088,07/01/2021,03/31/2022,--,N,02001,00,9,N,7600,7600,7600,--,--,--,--,"$2,844.02",1,0.0626,320,0.258,1.0554,0.1165,0.2948,--,--,--,06/30/2014,--,--,1,42644,--,--,$21.52,--,$21.52,--,B,418.5,0,0,0.019,--,0.0886,0,--,--,N,0,1,0.9987,0,N,$510.11,--,0,53033,50,0,--
2962,500108,07/01/2021,03/31/2022,--,N,02001,00,9,N,8200,8200,8200,--,--,--,--,"$3,312.43",1,0.0057,353,0.213,1.2193,0.0875,0.2782,--,--,--,06/30/1987,--,--,1,45104,--,--,$29.15,--,$29.15,--,B,0,440.55,0.6349,0.013,--,0.0079,0,--,--,N,0,1,0.9976,0,N,$609.11,--,0,53053,50,0,--
2963,500119,10/01/2021,03/31/2022,--,N,05901,00,9,--,7840,--,--,--,--,--,--,$0.00,1,0.0004,118,0.208,1.3328,0.0566,0.2424,--,--,--,09/30/2022,--,--,1,44060,--,--,$0.00,--,--,--,B,769.13,0,0,0.017,--,0.0009,0,--,--,N,0,1,0.9888,0,N,$316.55,--,0,53063,50,0,--
2964,500124,01/01/2022,03/31/2022,--,N,02001,00,9,N,7600,7600,7600,--,--,--,--,"$2,050.36",1,--,294,0.268,1.1361,0.0691,0.1625,--,--,--,12/31/1986,--,--,1,42644,--,--,$0.00,--,--,--,B,414.66,0,0,0.019,--,--,0,--,--,N,0,1,0.9999,0,N,$534.36,--,0,53033,50,0,--
2965,500129,01/01/2022,03/31/2022,--,N,02001,00,9,N,8200,8200,8200,--,--,--,--,"$2,131.47",1,0.036,406,0.202,1.1829,0.0951,0.4036,--,--,--,12/31/1986,--,--,1,45104,--,--,$12.42,--,$12.42,--,B,0,0,0,0.014,--,0.0598,0,--,--,N,0,1,0.9965,0,N,"$1,027.67",--,0,53053,50,0,--
2966,500139,05/01/2021,03/31/2022,--,N,05901,00,9,--,5910,--,--,--,--,--,--,$0.00,1,--,104,0.199,1.4752,0.0458,0.2596,--,--,--,04/30/2022,--,Y,1,36500,45104,--,$0.00,--,--,--,B,0,0,0,0.025,--,--,0,--,--,N,0,1,0.9805,0,N,$258.98,--,0,53067,50,0,--
2967,500141,07/01/2021,03/31/2022,--,N,02001,00,9,N,7600,7600,7600,--,--,--,--,"$2,693.14",1,0.0538,109,0.206,1.1827,0.0858,0.2907,--,--,--,06/30/2016,--,--,1,42644,--,--,$15.98,--,$15.98,--,B,0,662.74,0.2843,0.013,--,0.0774,0,--,--,N,0,1,1,0,N,$803.75,--,0,53033,50,0,--
