,Bad_ID
588,221608
589,043501
590,362664
591,142507
592,17E597
593,15E681
594,102860
595,502539
596,102592
597,052694
598,232580
599,242541
600,392738
601,152618
602,262326
603,232692
604,522571
605,362782
606,332654
607,332746
608,272510
609,A11558
610,392617
611,332769
612,142703
613,502585
614,A11653
615,012698
616,742511
617,682635
618,742510
619,243528
620,243543
621,A01788
622,A11726
623,A11596
624,A01711
625,291581
626,152702
627,A11719
628,45F197
629,495430
630,062538
631,102647
632,502503
633,192613
634,102825
635,052587
636,092530
637,032517
638,192682
639,102869
640,492671
641,362800
642,362786
643,422662
644,332344
645,332352
646,332710
647,342698
648,182626
649,742526
650,332350
651,742544
652,742542
653,A01692
654,112795
655,A01780
656,A11700
657,A11689
658,102328
659,852570
660,A11555
661,A11523
662,152542
663,552567
664,452528
665,072554
666,382530
667,012553
668,322503
669,362512
670,08002F
671,192541
672,342595
673,232576
674,232740
675,28E175
676,43A135
677,243538
678,24E507
679,16E176
680,162517
681,492589
682,462510
683,102769
684,502548
685,242309
686,413500
687,05127E
688,682594
689,012667
690,501544
691,152649
692,052684
693,142755
694,032637
695,672782
696,242599
697,242594
698,25043F
699,672847
700,262680
701,142868
702,A01664
703,392876
704,012649
705,452805
706,A11649
707,333563
708,A01782
709,102794
710,232567
711,662501
712,102757
713,382538
714,382547
715,163510
716,01019F
717,392863
718,392877
719,232526
720,142655
721,342559
722,382508
723,672644
724,672683
725,672820
726,672838
727,672871
728,672877
729,742505
730,742507
731,742508
732,742509
733,742524
734,742539
735,51A013
736,502521
737,162313
738,122519
739,492648
740,032540
741,10009F
742,442687
743,232655
744,552600
745,102868
746,442675
747,442718
748,442723
749,442749
750,442755
751,442762
752,292545
753,052806
754,422629
755,682589
756,A11530
757,A01756
758,112664
759,142846
760,152538
761,452878
762,682552
763,552761
764,432306
765,102747
766,192732
767,392829
768,332639
769,672886
770,102587
771,A11675
772,042574
773,672881
774,392612
775,A11599
776,A11659
777,312699
778,A11693
779,032536
780,A11754
781,332758
782,462543
783,262530
784,052876
785,112321
786,192678
787,452629
788,512502
789,232606
790,392554
791,342660
792,422540
793,442713
794,512539
795,682547
796,422637
797,362842
798,522601
799,672799
800,A01691
801,192568
802,241605
803,152691
804,05031F
805,263511
806,053311
807,A11694
808,012704
809,752501
810,552890
811,345553
812,442766
813,031694
814,312691
815,241609
816,742561
817,152704
818,342612
819,342569
820,30E076
821,41002F
822,432300
823,222312
824,422591
825,462525
826,342536
827,102744
828,342636
829,362736
830,36006F
831,333544
832,452867
833,322520
834,152504
835,492581
836,422593
837,332743
838,182529
839,362612
840,102525
841,282315
842,052579
843,192573
844,032509
845,512503
846,232598
847,05A147
848,062545
849,362693
850,292532
851,333552
852,552667
853,422621
854,182615
855,452836
856,492660
857,45090F
858,372589
859,362791
860,392785
861,522527
862,552779
863,A01751
864,142780
865,322557
866,212703
867,372611
868,852551
869,A01768
870,A11750
871,552893
872,142624
